channel,subscribers,platform
Manga Bilibili,1438.64,bilibili
old tamato,1229.56,bilibili
Jinhanqing,874.59,bilibili
LexBurner,868.85,bilibili
Bilibili VIP,838.43,bilibili
AO,814.43,bilibili
Communist Youth League of China,722.76,bilibili
Kaze,698.5,bilibili
Zoey,680.82,bilibili
Li Ziqi,675.41,bilibili
papi,653.96,bilibili
dangmei,640.96,bilibili
China Boy,609.07,bilibili
Brother of Huanong,588.62,bilibili
Mou huan,581.12,bilibili
I'm guo jerry,569.59,bilibili
Baozou Manga,562.29,bilibili
Rat,550.84,bilibili
guanchazhe,541.33,bilibili
Las,520.23,bilibili