"","year","sex","name","n","prop"
"1",1880,"F","Rachel",166,0.00170073
"2",1880,"F","Phoebe",50,0.00051227
"3",1880,"F","Monica",6,6.147e-05
"4",1880,"M","Ross",69,0.00058277
"5",1881,"F","Rachel",157,0.00158818
"6",1881,"F","Phoebe",46,0.00046533
"7",1881,"F","Monica",10,0.00010116
"8",1881,"M","Ross",82,0.00075728
"9",1882,"F","Rachel",203,0.00175461
"10",1882,"F","Phoebe",62,0.00053589
"11",1882,"M","Ross",96,0.00078669
"12",1883,"F","Rachel",174,0.00144929
"13",1883,"F","Phoebe",66,0.00054973
"14",1883,"F","Monica",5,4.165e-05
"15",1883,"M","Ross",88,0.00078238
"16",1884,"F","Rachel",230,0.00167168
"17",1884,"F","Phoebe",75,0.00054511
"18",1884,"F","Monica",8,5.815e-05
"19",1884,"M","Ross",110,0.00089622
"20",1885,"F","Rachel",212,0.0014935
"21",1885,"F","Phoebe",72,0.00050723
"22",1885,"F","Monica",10,7.045e-05
"23",1885,"M","Ross",109,0.0009401
"24",1886,"F","Rachel",213,0.0013855
"25",1886,"F","Phoebe",80,0.00052038
"26",1886,"F","Monica",10,6.505e-05
"27",1886,"M","Ross",107,0.00089885
"28",1887,"F","Rachel",226,0.00145411
"29",1887,"F","Phoebe",63,0.00040535
"30",1887,"F","Monica",13,8.364e-05
"31",1887,"M","Ross",85,0.00077758
"32",1888,"F","Rachel",281,0.00148328
"33",1888,"F","Phoebe",65,0.00034311
"34",1888,"F","Monica",13,6.862e-05
"35",1888,"M","Ross",90,0.00069281
"36",1889,"F","Rachel",266,0.00140578
"37",1889,"F","Phoebe",67,0.00035409
"38",1889,"F","Monica",14,7.399e-05
"39",1889,"M","Ross",115,0.00096613
"40",1890,"F","Rachel",318,0.0015769
"41",1890,"F","Phoebe",74,0.00036695
"42",1890,"F","Monica",17,8.43e-05
"43",1890,"M","Ross",101,0.00084377
"44",1891,"F","Rachel",267,0.00135832
"45",1891,"F","Phoebe",84,0.00042734
"46",1891,"F","Monica",25,0.00012718
"47",1891,"F","Ross",5,2.544e-05
"48",1891,"M","Ross",86,0.00078708
"49",1892,"F","Rachel",369,0.00164063
"50",1892,"F","Phoebe",88,0.00039126
"51",1892,"F","Monica",27,0.00012005
"52",1892,"M","Ross",90,0.00068466
"53",1893,"F","Rachel",321,0.0014252
"54",1893,"F","Phoebe",86,0.00038183
"55",1893,"F","Monica",25,0.000111
"56",1893,"M","Ross",76,0.00062789
"57",1894,"F","Rachel",317,0.00134339
"58",1894,"F","Phoebe",85,0.00036021
"59",1894,"F","Monica",22,9.323e-05
"60",1894,"M","Ross",110,0.00088075
"61",1895,"F","Rachel",351,0.00142044
"62",1895,"F","Phoebe",90,0.00036422
"63",1895,"F","Monica",20,8.094e-05
"64",1895,"M","Ross",73,0.00057642
"65",1896,"F","Rachel",348,0.00138099
"66",1896,"F","Phoebe",106,0.00042065
"67",1896,"F","Monica",36,0.00014286
"68",1896,"M","Ross",83,0.00064306
"69",1897,"F","Rachel",297,0.00119625
"70",1897,"F","Phoebe",72,0.00029
"71",1897,"F","Monica",34,0.00013694
"72",1897,"M","Ross",62,0.00050844
"73",1898,"F","Rachel",367,0.00133871
"74",1898,"F","Phoebe",79,0.00028817
"75",1898,"F","Monica",41,0.00014956
"76",1898,"M","Ross",75,0.00056773
"77",1899,"F","Rachel",324,0.00130914
"78",1899,"F","Phoebe",84,0.00033941
"79",1899,"F","Monica",30,0.00012122
"80",1899,"M","Ross",95,0.0008247
"81",1899,"M","Rachel",5,4.341e-05
"82",1900,"F","Rachel",379,0.00119275
"83",1900,"F","Phoebe",71,0.00022344
"84",1900,"F","Monica",39,0.00012274
"85",1900,"M","Ross",83,0.00051193
"86",1900,"M","Chandler",5,3.084e-05
"87",1900,"M","Rachel",5,3.084e-05
"88",1901,"F","Rachel",369,0.00145145
"89",1901,"F","Phoebe",54,0.00021241
"90",1901,"F","Monica",44,0.00017307
"91",1901,"M","Ross",72,0.00062286
"92",1902,"F","Rachel",393,0.0014019
"93",1902,"F","Phoebe",87,0.00031034
"94",1902,"F","Monica",33,0.00011772
"95",1902,"M","Ross",90,0.00067797
"96",1903,"F","Rachel",383,0.00137673
"97",1903,"F","Phoebe",68,0.00024443
"98",1903,"F","Monica",36,0.00012941
"99",1903,"M","Ross",67,0.00051807
"100",1904,"F","Rachel",356,0.00121736
"101",1904,"F","Phoebe",63,0.00021543
"102",1904,"F","Monica",54,0.00018466
"103",1904,"M","Ross",73,0.00052705
"104",1905,"F","Rachel",421,0.00135866
"105",1905,"F","Phoebe",87,0.00028077
"106",1905,"F","Monica",53,0.00017104
"107",1905,"M","Ross",74,0.00051662
"108",1906,"F","Rachel",366,0.00116769
"109",1906,"F","Phoebe",53,0.00016909
"110",1906,"F","Monica",52,0.0001659
"111",1906,"M","Ross",88,0.00061081
"112",1907,"F","Rachel",420,0.00124469
"113",1907,"F","Phoebe",82,0.00024301
"114",1907,"F","Monica",61,0.00018078
"115",1907,"M","Ross",76,0.00047923
"116",1907,"M","Chandler",6,3.783e-05
"117",1908,"F","Rachel",425,0.00119877
"118",1908,"F","Phoebe",76,0.00021437
"119",1908,"F","Monica",62,0.00017488
"120",1908,"M","Ross",99,0.00059507
"121",1909,"F","Rachel",462,0.00125511
"122",1909,"F","Phoebe",78,0.0002119
"123",1909,"F","Monica",71,0.00019288
"124",1909,"M","Ross",81,0.00045797
"125",1909,"M","Chandler",6,3.392e-05
"126",1910,"F","Rachel",538,0.0012824
"127",1910,"F","Phoebe",90,0.00021453
"128",1910,"F","Monica",79,0.00018831
"129",1910,"M","Ross",103,0.00049396
"130",1910,"M","Rachel",5,2.398e-05
"131",1911,"F","Rachel",537,0.00121543
"132",1911,"F","Phoebe",87,0.00019691
"133",1911,"F","Monica",83,0.00018786
"134",1911,"M","Ross",140,0.00057996
"135",1911,"M","Chandler",5,2.071e-05
"136",1912,"F","Rachel",703,0.0011982
"137",1912,"F","Monica",130,0.00022157
"138",1912,"F","Phoebe",104,0.00017726
"139",1912,"M","Ross",240,0.00053161
"140",1912,"M","Chandler",18,3.987e-05
"141",1913,"F","Rachel",827,0.00126276
"142",1913,"F","Monica",164,0.00025041
"143",1913,"F","Phoebe",112,0.00017102
"144",1913,"F","Ross",5,7.63e-06
"145",1913,"M","Ross",300,0.00055944
"146",1913,"M","Chandler",9,1.678e-05
"147",1914,"F","Rachel",974,0.00122267
"148",1914,"F","Phoebe",177,0.00022219
"149",1914,"F","Monica",156,0.00019583
"150",1914,"F","Ross",6,7.53e-06
"151",1914,"M","Ross",360,0.00052684
"152",1914,"M","Chandler",22,3.22e-05
"153",1914,"M","Rachel",5,7.32e-06
"154",1915,"F","Rachel",1205,0.0011769
"155",1915,"F","Phoebe",198,0.00019338
"156",1915,"F","Monica",196,0.00019143
"157",1915,"M","Ross",451,0.00051195
"158",1915,"M","Chandler",24,2.724e-05
"159",1915,"M","Rachel",7,7.95e-06
"160",1915,"M","Joey",6,6.81e-06
"161",1916,"F","Rachel",1328,0.00122315
"162",1916,"F","Monica",278,0.00025605
"163",1916,"F","Phoebe",199,0.00018329
"164",1916,"F","Ross",6,5.53e-06
"165",1916,"M","Ross",457,0.00049499
"166",1916,"M","Chandler",26,2.816e-05
"167",1916,"M","Joey",9,9.75e-06
"168",1916,"M","Rachel",8,8.66e-06
"169",1917,"F","Rachel",1339,0.0011916
"170",1917,"F","Monica",252,0.00022426
"171",1917,"F","Phoebe",227,0.00020201
"172",1917,"F","Ross",9,8.01e-06
"173",1917,"M","Ross",503,0.00052433
"174",1917,"M","Chandler",28,2.919e-05
"175",1917,"M","Rachel",5,5.21e-06
"176",1918,"F","Rachel",1542,0.00128247
"177",1918,"F","Monica",223,0.00018547
"178",1918,"F","Phoebe",215,0.00017881
"179",1918,"F","Ross",8,6.65e-06
"180",1918,"F","Joey",7,5.82e-06
"181",1918,"M","Ross",569,0.00054259
"182",1918,"M","Chandler",25,2.384e-05
"183",1918,"M","Rachel",6,5.72e-06
"184",1919,"F","Rachel",1488,0.00126676
"185",1919,"F","Phoebe",193,0.0001643
"186",1919,"F","Monica",178,0.00015153
"187",1919,"F","Ross",13,1.107e-05
"188",1919,"F","Joey",7,5.96e-06
"189",1919,"M","Ross",569,0.00056041
"190",1919,"M","Chandler",36,3.546e-05
"191",1919,"M","Joey",8,7.88e-06
"192",1919,"M","Rachel",8,7.88e-06
"193",1920,"F","Rachel",1484,0.00119289
"194",1920,"F","Phoebe",220,0.00017684
"195",1920,"F","Monica",215,0.00017282
"196",1920,"M","Ross",548,0.00049781
"197",1920,"M","Chandler",39,3.543e-05
"198",1920,"M","Rachel",8,7.27e-06
"199",1920,"M","Joey",5,4.54e-06
"200",1921,"F","Rachel",1583,0.001237
"201",1921,"F","Monica",247,0.00019301
"202",1921,"F","Phoebe",199,0.0001555
"203",1921,"F","Joey",11,8.6e-06
"204",1921,"F","Ross",11,8.6e-06
"205",1921,"M","Ross",514,0.00045169
"206",1921,"M","Chandler",26,2.285e-05
"207",1921,"M","Rachel",10,8.79e-06
"208",1921,"M","Joey",8,7.03e-06
"209",1922,"F","Rachel",1541,0.00123522
"210",1922,"F","Monica",206,0.00016512
"211",1922,"F","Phoebe",193,0.0001547
"212",1922,"F","Ross",8,6.41e-06
"213",1922,"F","Joey",6,4.81e-06
"214",1922,"M","Ross",576,0.00051188
"215",1922,"M","Chandler",37,3.288e-05
"216",1922,"M","Joey",12,1.066e-05
"217",1922,"M","Rachel",10,8.89e-06
"218",1923,"F","Rachel",1484,0.00118487
"219",1923,"F","Monica",199,0.00015889
"220",1923,"F","Phoebe",194,0.0001549
"221",1923,"F","Joey",8,6.39e-06
"222",1923,"F","Ross",6,4.79e-06
"223",1923,"M","Ross",575,0.0005078
"224",1923,"M","Chandler",25,2.208e-05
"225",1923,"M","Joey",5,4.42e-06
"226",1923,"M","Rachel",5,4.42e-06
"227",1924,"F","Rachel",1600,0.00123485
"228",1924,"F","Monica",223,0.00017211
"229",1924,"F","Phoebe",197,0.00015204
"230",1924,"F","Joey",9,6.95e-06
"231",1924,"F","Ross",7,5.4e-06
"232",1924,"M","Ross",588,0.00050297
"233",1924,"M","Chandler",26,2.224e-05
"234",1924,"M","Joey",14,1.198e-05
"235",1925,"F","Rachel",1439,0.00113928
"236",1925,"F","Monica",198,0.00015676
"237",1925,"F","Phoebe",192,0.00015201
"238",1925,"F","Ross",9,7.13e-06
"239",1925,"F","Joey",8,6.33e-06
"240",1925,"M","Ross",559,0.00048548
"241",1925,"M","Chandler",27,2.345e-05
"242",1925,"M","Joey",11,9.55e-06
"243",1925,"M","Rachel",8,6.95e-06
"244",1926,"F","Rachel",1389,0.00112913
"245",1926,"F","Monica",190,0.00015445
"246",1926,"F","Phoebe",162,0.00013169
"247",1926,"F","Ross",7,5.69e-06
"248",1926,"F","Joey",6,4.88e-06
"249",1926,"M","Ross",530,0.00046268
"250",1926,"M","Chandler",27,2.357e-05
"251",1926,"M","Joey",15,1.309e-05
"252",1926,"M","Rachel",8,6.98e-06
"253",1927,"F","Rachel",1286,0.00104012
"254",1927,"F","Monica",189,0.00015286
"255",1927,"F","Phoebe",169,0.00013669
"256",1927,"F","Joey",5,4.04e-06
"257",1927,"M","Ross",453,0.00038989
"258",1927,"M","Chandler",28,2.41e-05
"259",1927,"M","Joey",14,1.205e-05
"260",1927,"M","Rachel",7,6.02e-06
"261",1928,"F","Rachel",1181,0.0009879
"262",1928,"F","Monica",218,0.00018236
"263",1928,"F","Phoebe",177,0.00014806
"264",1928,"F","Joey",7,5.86e-06
"265",1928,"F","Ross",5,4.18e-06
"266",1928,"M","Ross",483,0.00042325
"267",1928,"M","Chandler",22,1.928e-05
"268",1928,"M","Joey",19,1.665e-05
"269",1928,"M","Rachel",8,7.01e-06
"270",1929,"F","Rachel",1214,0.00104879
"271",1929,"F","Monica",182,0.00015723
"272",1929,"F","Phoebe",148,0.00012786
"273",1929,"F","Joey",6,5.18e-06
"274",1929,"M","Ross",414,0.0003738
"275",1929,"M","Chandler",21,1.896e-05
"276",1929,"M","Joey",16,1.445e-05
"277",1929,"M","Rachel",11,9.93e-06
"278",1930,"F","Rachel",1261,0.00108108
"279",1930,"F","Monica",168,0.00014403
"280",1930,"F","Phoebe",164,0.0001406
"281",1930,"F","Joey",5,4.29e-06
"282",1930,"M","Ross",498,0.00044093
"283",1930,"M","Joey",24,2.125e-05
"284",1930,"M","Chandler",14,1.24e-05
"285",1930,"M","Rachel",6,5.31e-06
"286",1931,"F","Rachel",1171,0.00106105
"287",1931,"F","Monica",192,0.00017397
"288",1931,"F","Phoebe",143,0.00012957
"289",1931,"F","Joey",7,6.34e-06
"290",1931,"F","Ross",7,6.34e-06
"291",1931,"M","Ross",454,0.00042447
"292",1931,"M","Chandler",28,2.618e-05
"293",1931,"M","Joey",24,2.244e-05
"294",1932,"F","Rachel",1255,0.00113449
"295",1932,"F","Monica",215,0.00019436
"296",1932,"F","Phoebe",146,0.00013198
"297",1932,"F","Joey",12,1.085e-05
"298",1932,"M","Ross",423,0.00039375
"299",1932,"M","Joey",28,2.606e-05
"300",1932,"M","Chandler",18,1.676e-05
"301",1932,"M","Rachel",11,1.024e-05
"302",1933,"F","Rachel",1141,0.00109089
"303",1933,"F","Monica",213,0.00020365
"304",1933,"F","Phoebe",143,0.00013672
"305",1933,"F","Joey",14,1.339e-05
"306",1933,"M","Ross",415,0.00040686
"307",1933,"M","Chandler",25,2.451e-05
"308",1933,"M","Joey",22,2.157e-05
"309",1933,"M","Rachel",10,9.8e-06
"310",1934,"F","Rachel",1181,0.00109127
"311",1934,"F","Monica",259,0.00023932
"312",1934,"F","Phoebe",127,0.00011735
"313",1934,"F","Joey",11,1.016e-05
"314",1934,"F","Ross",5,4.62e-06
"315",1934,"M","Ross",442,0.0004163
"316",1934,"M","Chandler",29,2.731e-05
"317",1934,"M","Joey",26,2.449e-05
"318",1934,"M","Rachel",13,1.224e-05
"319",1935,"F","Rachel",1199,0.00110333
"320",1935,"F","Monica",332,0.00030551
"321",1935,"F","Phoebe",127,0.00011687
"322",1935,"F","Joey",9,8.28e-06
"323",1935,"M","Ross",427,0.00039929
"324",1935,"M","Joey",35,3.273e-05
"325",1935,"M","Chandler",25,2.338e-05
"326",1935,"M","Rachel",11,1.029e-05
"327",1936,"F","Rachel",1207,0.00112019
"328",1936,"F","Monica",273,0.00025337
"329",1936,"F","Phoebe",139,0.000129
"330",1936,"F","Joey",12,1.114e-05
"331",1936,"F","Ross",6,5.57e-06
"332",1936,"M","Ross",475,0.00044636
"333",1936,"M","Joey",31,2.913e-05
"334",1936,"M","Chandler",20,1.879e-05
"335",1936,"M","Rachel",17,1.597e-05
"336",1937,"F","Rachel",1229,0.00111549
"337",1937,"F","Monica",292,0.00026503
"338",1937,"F","Phoebe",121,0.00010982
"339",1937,"F","Joey",11,9.98e-06
"340",1937,"M","Ross",465,0.00042525
"341",1937,"M","Joey",38,3.475e-05
"342",1937,"M","Chandler",23,2.103e-05
"343",1937,"M","Rachel",12,1.097e-05
"344",1938,"F","Rachel",1279,0.00112059
"345",1938,"F","Monica",269,0.00023568
"346",1938,"F","Phoebe",151,0.0001323
"347",1938,"F","Joey",11,9.64e-06
"348",1938,"F","Ross",6,5.26e-06
"349",1938,"M","Ross",479,0.00042154
"350",1938,"M","Joey",31,2.728e-05
"351",1938,"M","Chandler",15,1.32e-05
"352",1938,"M","Rachel",9,7.92e-06
"353",1939,"F","Rachel",1345,0.00118602
"354",1939,"F","Monica",255,0.00022486
"355",1939,"F","Phoebe",143,0.0001261
"356",1939,"F","Joey",9,7.94e-06
"357",1939,"F","Ross",5,4.41e-06
"358",1939,"M","Ross",480,0.00042359
"359",1939,"M","Joey",50,4.412e-05
"360",1939,"M","Chandler",22,1.941e-05
"361",1939,"M","Rachel",9,7.94e-06
"362",1940,"F","Rachel",1264,0.00107005
"363",1940,"F","Monica",286,0.00024212
"364",1940,"F","Phoebe",150,0.00012698
"365",1940,"F","Joey",5,4.23e-06
"366",1940,"M","Ross",458,0.00038616
"367",1940,"M","Joey",64,5.396e-05
"368",1940,"M","Chandler",11,9.27e-06
"369",1940,"M","Rachel",7,5.9e-06
"370",1941,"F","Rachel",1385,0.00111168
"371",1941,"F","Monica",261,0.00020949
"372",1941,"F","Phoebe",155,0.00012441
"373",1941,"F","Joey",8,6.42e-06
"374",1941,"F","Ross",5,4.01e-06
"375",1941,"M","Ross",513,0.00040888
"376",1941,"M","Joey",52,4.145e-05
"377",1941,"M","Rachel",17,1.355e-05
"378",1941,"M","Chandler",15,1.196e-05
"379",1942,"F","Rachel",1426,0.00102561
"380",1942,"F","Monica",325,0.00023375
"381",1942,"F","Phoebe",127,9.134e-05
"382",1942,"F","Joey",22,1.582e-05
"383",1942,"M","Ross",556,0.00039487
"384",1942,"M","Joey",96,6.818e-05
"385",1942,"M","Chandler",24,1.704e-05
"386",1942,"M","Rachel",10,7.1e-06
"387",1943,"F","Rachel",1371,0.00095522
"388",1943,"F","Monica",299,0.00020832
"389",1943,"F","Phoebe",128,8.918e-05
"390",1943,"F","Joey",14,9.75e-06
"391",1943,"M","Ross",584,0.00040156
"392",1943,"M","Joey",131,9.008e-05
"393",1943,"M","Chandler",23,1.582e-05
"394",1943,"M","Rachel",8,5.5e-06
"395",1944,"F","Rachel",1249,0.00091404
"396",1944,"F","Monica",342,0.00025028
"397",1944,"F","Phoebe",112,8.196e-05
"398",1944,"F","Joey",20,1.464e-05
"399",1944,"F","Ross",7,5.12e-06
"400",1944,"M","Ross",564,0.00040606
"401",1944,"M","Joey",137,9.863e-05
"402",1944,"M","Chandler",20,1.44e-05
"403",1945,"F","Rachel",1208,0.00089743
"404",1945,"F","Monica",400,0.00029716
"405",1945,"F","Phoebe",101,7.503e-05
"406",1945,"F","Joey",20,1.486e-05
"407",1945,"F","Ross",5,3.71e-06
"408",1945,"M","Ross",555,0.00040473
"409",1945,"M","Joey",120,8.751e-05
"410",1945,"M","Chandler",18,1.313e-05
"411",1945,"M","Rachel",7,5.1e-06
"412",1946,"F","Rachel",1234,0.00076511
"413",1946,"F","Monica",457,0.00028335
"414",1946,"F","Phoebe",117,7.254e-05
"415",1946,"F","Joey",16,9.92e-06
"416",1946,"M","Ross",650,0.00039389
"417",1946,"M","Joey",121,7.332e-05
"418",1946,"M","Chandler",22,1.333e-05
"419",1947,"F","Rachel",1447,0.00079601
"420",1947,"F","Monica",614,0.00033777
"421",1947,"F","Phoebe",127,6.986e-05
"422",1947,"F","Joey",14,7.7e-06
"423",1947,"M","Ross",789,0.00042479
"424",1947,"M","Joey",174,9.368e-05
"425",1947,"M","Chandler",32,1.723e-05
"426",1948,"F","Rachel",1388,0.00079652
"427",1948,"F","Monica",847,0.00048606
"428",1948,"F","Phoebe",105,6.026e-05
"429",1948,"F","Joey",15,8.61e-06
"430",1948,"M","Ross",720,0.00040391
"431",1948,"M","Joey",153,8.583e-05
"432",1948,"M","Chandler",19,1.066e-05
"433",1948,"M","Monica",5,2.8e-06
"434",1949,"F","Rachel",1438,0.00081914
"435",1949,"F","Monica",826,0.00047052
"436",1949,"F","Phoebe",107,6.095e-05
"437",1949,"F","Joey",15,8.54e-06
"438",1949,"M","Ross",763,0.00042346
"439",1949,"M","Joey",154,8.547e-05
"440",1949,"M","Chandler",21,1.165e-05
"441",1949,"M","Rachel",6,3.33e-06
"442",1950,"F","Rachel",1453,0.00082622
"443",1950,"F","Monica",1057,0.00060104
"444",1950,"F","Phoebe",99,5.629e-05
"445",1950,"F","Joey",27,1.535e-05
"446",1950,"F","Ross",5,2.84e-06
"447",1950,"M","Ross",769,0.00042274
"448",1950,"M","Joey",188,0.00010335
"449",1950,"M","Chandler",23,1.264e-05
"450",1951,"F","Rachel",1435,0.00077682
"451",1951,"F","Monica",1298,0.00070266
"452",1951,"F","Phoebe",109,5.901e-05
"453",1951,"F","Joey",26,1.407e-05
"454",1951,"F","Ross",5,2.71e-06
"455",1951,"M","Ross",883,0.00046186
"456",1951,"M","Joey",196,0.00010252
"457",1951,"M","Chandler",22,1.151e-05
"458",1951,"M","Rachel",7,3.66e-06
"459",1952,"F","Rachel",1601,0.00084162
"460",1952,"F","Monica",1465,0.00077013
"461",1952,"F","Phoebe",100,5.257e-05
"462",1952,"F","Joey",17,8.94e-06
"463",1952,"M","Ross",908,0.00045993
"464",1952,"M","Joey",243,0.00012309
"465",1952,"M","Chandler",17,8.61e-06
"466",1952,"M","Rachel",11,5.57e-06
"467",1953,"F","Rachel",1777,0.00092116
"468",1953,"F","Monica",1598,0.00082837
"469",1953,"F","Phoebe",95,4.925e-05
"470",1953,"F","Joey",28,1.451e-05
"471",1953,"M","Ross",919,0.00045921
"472",1953,"M","Joey",329,0.0001644
"473",1953,"M","Chandler",16,7.99e-06
"474",1953,"M","Rachel",9,4.5e-06
"475",1954,"F","Monica",1827,0.0009177
"476",1954,"F","Rachel",1804,0.00090615
"477",1954,"F","Phoebe",130,6.53e-05
"478",1954,"F","Joey",30,1.507e-05
"479",1954,"M","Ross",1000,0.00048346
"480",1954,"M","Joey",501,0.00024221
"481",1954,"M","Chandler",24,1.16e-05
"482",1954,"M","Rachel",5,2.42e-06
"483",1955,"F","Monica",1812,0.00090388
"484",1955,"F","Rachel",1802,0.00089889
"485",1955,"F","Phoebe",120,5.986e-05
"486",1955,"F","Joey",26,1.297e-05
"487",1955,"M","Ross",1027,0.00049148
"488",1955,"M","Joey",694,0.00033212
"489",1955,"M","Chandler",23,1.101e-05
"490",1955,"M","Rachel",13,6.22e-06
"491",1956,"F","Monica",2160,0.00104892
"492",1956,"F","Rachel",1670,0.00081097
"493",1956,"F","Phoebe",109,5.293e-05
"494",1956,"F","Joey",29,1.408e-05
"495",1956,"M","Ross",992,0.00046256
"496",1956,"M","Joey",946,0.00044111
"497",1956,"M","Chandler",26,1.212e-05
"498",1956,"M","Rachel",9,4.2e-06
"499",1957,"F","Monica",2487,0.00118567
"500",1957,"F","Rachel",1825,0.00087006
"501",1957,"F","Phoebe",105,5.006e-05
"502",1957,"F","Joey",43,2.05e-05
"503",1957,"F","Ross",5,2.38e-06
"504",1957,"M","Joey",1034,0.00047269
"505",1957,"M","Ross",952,0.00043521
"506",1957,"M","Chandler",32,1.463e-05
"507",1957,"M","Rachel",7,3.2e-06
"508",1958,"F","Monica",2415,0.00116948
"509",1958,"F","Rachel",1660,0.00080387
"510",1958,"F","Phoebe",110,5.327e-05
"511",1958,"F","Joey",40,1.937e-05
"512",1958,"F","Ross",8,3.87e-06
"513",1958,"M","Joey",1071,0.00049744
"514",1958,"M","Ross",1032,0.00047932
"515",1958,"M","Chandler",22,1.022e-05
"516",1958,"M","Monica",7,3.25e-06
"517",1958,"M","Rachel",6,2.79e-06
"518",1959,"F","Monica",2593,0.00124753
"519",1959,"F","Rachel",1747,0.00084051
"520",1959,"F","Phoebe",116,5.581e-05
"521",1959,"F","Joey",26,1.251e-05
"522",1959,"M","Joey",1121,0.00051748
"523",1959,"M","Ross",1029,0.00047501
"524",1959,"M","Chandler",25,1.154e-05
"525",1959,"M","Monica",7,3.23e-06
"526",1959,"M","Rachel",7,3.23e-06
"527",1960,"F","Monica",3088,0.00148473
"528",1960,"F","Rachel",1791,0.00086112
"529",1960,"F","Phoebe",116,5.577e-05
"530",1960,"F","Joey",23,1.106e-05
"531",1960,"F","Ross",6,2.88e-06
"532",1960,"M","Joey",1206,0.00055686
"533",1960,"M","Ross",1044,0.00048206
"534",1960,"M","Chandler",28,1.293e-05
"535",1960,"M","Monica",8,3.69e-06
"536",1961,"F","Monica",3390,0.00163263
"537",1961,"F","Rachel",2056,0.00099018
"538",1961,"F","Phoebe",119,5.731e-05
"539",1961,"F","Joey",29,1.397e-05
"540",1961,"M","Joey",1257,0.00058304
"541",1961,"M","Ross",1022,0.00047404
"542",1961,"M","Chandler",31,1.438e-05
"543",1961,"M","Monica",12,5.57e-06
"544",1961,"M","Rachel",7,3.25e-06
"545",1962,"F","Monica",4006,0.00197634
"546",1962,"F","Rachel",1940,0.00095709
"547",1962,"F","Phoebe",110,5.427e-05
"548",1962,"F","Joey",43,2.121e-05
"549",1962,"F","Chandler",10,4.93e-06
"550",1962,"F","Ross",7,3.45e-06
"551",1962,"M","Joey",1528,0.00072691
"552",1962,"M","Ross",1138,0.00054138
"553",1962,"M","Chandler",28,1.332e-05
"554",1962,"M","Monica",11,5.23e-06
"555",1962,"M","Rachel",7,3.33e-06
"556",1963,"F","Monica",3997,0.00201062
