Area,Province,Type,Consumption
Eastern China,Beijing,Pork,16.3
Eastern China,Tianjin,Pork,16.8
Eastern China,Hebei,Pork,15.8
Central China,Shanxi,Pork,10.8
Northeastern China,Inner Mongolia,Pork,20
Northeastern China,Liaoning,Pork,19
Northeastern China,Jilin,Pork,18.9
Northeastern China,Heilongjiang,Pork,18.5
Eastern China,Shanghai,Pork,22.4
Eastern China,Jiangsu,Pork,21.2
Eastern China,Zhejiang,Pork,23.7
Central China,Anhui,Pork,22.1
Eastern China,Fujian,Pork,29.1
Central China,Jiangxi,Pork,25.5
Eastern China,Shandong,Pork,15.9
Central China,Henan,Pork,12.9
Central China,Hubei,Pork,22.9
Central China,Hunan,Pork,29.8
Eastern China,Guangdong,Pork,34
Western China,Guangxi,Pork,31.3
Eastern China,Hainan,Pork,29.2
Western China,Chongqing,Pork,38.8
Western China,Sichuan,Pork,38.9
Western China,Guizhou,Pork,29.1
Western China,Yunnan,Pork,27.5
Western China,Tibet,Pork,6.7
Western China,Shaanxi,Pork,11.8
Western China,Gansu,Pork,14.3
Western China,Qinghai,Pork,9.8
Western China,Ningxia,Pork,7
Western China,Xinjiang,Pork,3.7
Eastern China,Beijing,Beef,3.3
Eastern China,Tianjin,Beef,2.9
Eastern China,Hebei,Beef,1.5
Central China,Shanxi,Beef,0.7
Northeastern China,Inner Mongolia,Beef,3.3
Northeastern China,Liaoning,Beef,2.6
Northeastern China,Jilin,Beef,2.3
Northeastern China,Heilongjiang,Beef,2
Eastern China,Shanghai,Beef,3
Eastern China,Jiangsu,Beef,2.1
Eastern China,Zhejiang,Beef,2.5
Central China,Anhui,Beef,2.2
Eastern China,Fujian,Beef,1.9
Central China,Jiangxi,Beef,2.2
Eastern China,Shandong,Beef,1.2
Central China,Henan,Beef,1.2
Central China,Hubei,Beef,1.9
Central China,Hunan,Beef,1.9
Eastern China,Guangdong,Beef,2.2
Western China,Guangxi,Beef,1.9
Eastern China,Hainan,Beef,2.1
Western China,Chongqing,Beef,1.3
Western China,Sichuan,Beef,1.7
Western China,Guizhou,Beef,1
Western China,Yunnan,Beef,2
Western China,Tibet,Beef,17.9
Western China,Shaanxi,Beef,1
Western China,Gansu,Beef,1.2
Western China,Qinghai,Beef,9.4
Western China,Ningxia,Beef,4.1
Western China,Xinjiang,Beef,5.1
Eastern China,Beijing,Lamb,2.7
Eastern China,Tianjin,Lamb,2.7
Eastern China,Hebei,Lamb,1.4
Central China,Shanxi,Lamb,1.1
Northeastern China,Inner Mongolia,Lamb,7.5
Northeastern China,Liaoning,Lamb,1.3
Northeastern China,Jilin,Lamb,0.7
Northeastern China,Heilongjiang,Lamb,1.1
Eastern China,Shanghai,Lamb,1.1
Eastern China,Jiangsu,Lamb,0.9
Eastern China,Zhejiang,Lamb,0.7
Central China,Anhui,Lamb,0.9
Eastern China,Fujian,Lamb,0.7
Central China,Jiangxi,Lamb,0.4
Eastern China,Shandong,Lamb,1
Central China,Henan,Lamb,1.1
Central China,Hubei,Lamb,0.6
Central China,Hunan,Lamb,0.6
Eastern China,Guangdong,Lamb,0.7
Western China,Guangxi,Lamb,0.7
Eastern China,Hainan,Lamb,1
Western China,Chongqing,Lamb,0.6
Western China,Sichuan,Lamb,0.5
Western China,Guizhou,Lamb,0.2
Western China,Yunnan,Lamb,0.4
Western China,Tibet,Lamb,4.5
Western China,Shaanxi,Lamb,1.1
Western China,Gansu,Lamb,2.4
Western China,Qinghai,Lamb,6.6
Western China,Ningxia,Lamb,4.1
Western China,Xinjiang,Lamb,14