loc,long,lat,type
Beijng,116.397128,39.916527,1
Xian,108.93425,34.23053,1
Lanzhou,103.71878,36.10396,1
Urumqi,88.31104,43.36378,1
Kazakhstan,71.465669,51.161882,1
Kyrgyzstan,74.56732,43.10359,1
Tajik,68.787038,38.568123,1
Uzbekistan,69.248888,41.314031,1
Iran,51.38495,35.691309,1
Turkey,32.856293,39.936684,1
Russia,37.61501,55.75777,1
Germany,13.403229,52.523688,1
Netherlands,4.885376,52.375914,1
Italy,12.47886,41.953351,1
Greece,23.701211,37.991796,2
Kenya,36.800086,-1.286858,2
India,78.08362,21.175326,2
Sri Lanka,80.622447,7.654822,2
Singapore,103.784644,1.287574,2
Malaysia,102.092093,4.321244,2
Philippines,121.354063,12.900646,2
Vietnam,105.697963,21.002657,2
Beihai,109.11986,21.502835,2
Haikou,110.334082,19.979834,2
Guangzhou,113.27305,23.143924,2
Quanzhou,118.663458,24.897163,2
Fuzhou,119.298165,26.082742,2