Profit,Revenue,Year,Name,Country,Type
6670,514405,2019,Walmart,USA,Public
5845,414650,2019,Sinopec Group,China,oil refinery
23352,396556,2019,Royal Dutch Shell Plc,Netherlands,oil refinery
2271,392977,2019,China National Petroleum,China,oil refinery
8175,387056,2019,State Grid Corporation of China,China,Utilities
9383,303738,2019,British Petroleum,UK,oil refinery
20840,290212,2019,Exxon Mobil,USA,oil refinery
14323,278342,2019,Volkswagen,German,car
16982,272612,2019,Toyota,Japan,car
59531,265595,2019,Apple,USA,Computer
9862,500343,2018,Walmart,USA,Public
9533,348903,2018,State Grid Corporation of China,China,Utilities
1538,326953,2018,Sinopec Group,China,oil refinery
-691,326008,2018,China National Petroleum,China,oil refinery
12977,311870,2018,Royal Dutch Shell Plc,Netherlands,oil refinery
22510,265172,2018,Toyota,Japan,car
13107,260028,2018,Volkswagen,German,car
3389,244582,2018,British Petroleum,UK,oil refinery
19710,244363,2018,Exxon Mobil,USA,oil refinery
48351,229234,2018,Apple,USA,Computer