"state","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"Missouri",198.63,183.46,149.81,369.77,43.16,152.96,539.48,345.19,17.37,186.45,525.47,76.61,15.55,175.17,178.71,196.08,155.96,30.22,166.93,33.55,150.17,203.8,58.02,188.53,60.99,218.84,37.88,96.52,124.88,102.2,82.41,84.71,17.35,102.09,31.73,64.05,24.26,60.2,12.54,7.47,0.69,1.57,16.45,42.81,3.7,1.15,5.49,5.41,4.8,18.57,3.53,9.72,1,0.02,0.04,0.04,0.12,0.02,0.62,3.76,0.41,9.97,1.04,NA,0.02,NA,0.81,NA,0.04,0.06,NA,0.02,NA,0.02,0.02,NA
"Montana",139.86,817.76,117.52,284.85,1007.97,419.57,355.92,1422.57,81.57,111.71,1119.76,1973.32,476.48,161.21,588.48,1122.06,720.79,175.29,422.65,843.36,341.6,676.12,300.15,416.62,643.92,505.27,749.98,449.82,1016.61,528.64,1065.44,625.59,313.99,326.15,1181.36,482.41,579.59,556.37,272.69,48.96,9.69,17.13,16.01,112.98,2.35,48.63,46.2,6.98,65.89,119.65,13.86,7.87,0.26,NA,NA,NA,NA,20.52,0.24,17.11,9.66,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska",78.95,303.03,745.32,24.91,31.61,117.35,331.03,639.7,86.34,34.46,209.06,276.01,129.04,34.6,428.55,401.02,186.13,71.57,395.65,37.4,263.28,207.99,275.32,41.75,214.03,183.75,191.6,12.07,178.58,16.79,108.79,29.32,14.81,44.19,8.13,15.86,54.63,31.99,11.64,36.53,4.59,44.87,52.32,4.88,1.61,0.37,6.08,25.54,3.52,13.69,0.51,4.26,4.93,0.25,0.19,NA,NA,NA,NA,NA,NA,6.65,5,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA
"Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.84,811.69,397.32,244.43,71.8,125.9,18.45,38.12,60.53,67.9,171.48,285.31,102.3,182.19,165.37,55.2,592.31,73.6,220.09,262.89,197.74,191.47,67.74,233.77,50.71,14.34,59.9,1.74,0.21,4.03,1.28,0.18,0.17,26.76,4.3,12.4,10.87,2.6,2.61,1.43,1.58,NA,0.22,NA,NA,0.3,0.19,NA,0.99,17.71,1.47,0.07,0.07,NA,0.06,0.24,0.06,NA,NA,0.35,NA,NA,NA
"New Hampshire",272.15,344.53,126.38,299.15,151.26,218.48,846.7,55.13,185.39,393.13,341.34,133.99,147.66,201.98,167.14,211.18,126.01,33.9,226.71,61.04,77.54,230.6,34.4,196.44,447.27,50.71,168.21,831.44,35.34,69.01,368.01,76.52,186.36,234.64,163.62,6.44,134.65,55.03,11.59,3.86,21.01,27.1,8.4,26.65,98.96,90.34,20.26,2.39,1.13,29.05,7.15,3.18,26.69,0.98,0.5,NA,3.3,NA,2.62,16.24,10.23,1.44,NA,NA,1.44,0.18,NA,NA,NA,1.93,NA,NA,0.24,NA,NA,NA
"New Jersey",797.14,181.86,602.87,494.19,373.96,726.94,359.92,792.91,215.06,1108.94,716.98,104.83,301.99,1044.54,322.1,927.14,658.66,78.87,1151.75,250.71,715.45,705.08,601.68,395.01,1282.7,81.21,445.79,937.1,340.37,458.1,429.08,502.21,175.27,293.59,510.19,160.62,176.38,61.18,29.39,8.8,9.74,13.46,23.46,17.39,5.64,10.1,75.03,6.48,8.56,2.67,1.01,0.66,8.92,0.77,0.08,0.36,0.07,0.31,11.6,0.5,4.25,5.28,2.47,13.05,0.4,0.06,1.68,0.04,NA,0.02,0.08,NA,NA,0.01,NA,NA
"New Mexico",663.41,54.78,529.23,324.57,271.9,148.8,731.9,147.97,234.94,487.27,628.89,316.1,216.63,778.1,315.64,105.71,303.73,67.9,215.41,226.78,174.64,671.44,136.02,297.51,210.63,662.89,355.99,621.75,495.32,747.33,912.17,484.03,6.81,2.07,NA,NA,111.15,68.59,126.32,61.2,17.64,28.3,28.59,37.27,12.07,14.03,5.35,9.07,1.3,1.92,NA,3.15,0.99,1.1,NA,NA,5.09,0.28,2.6,10.55,NA,1.4,6.66,4.92,0.06,NA,NA,1.82,0.96,0.4,NA,NA,NA,NA,NA,NA
"New York",649.97,249.09,315.39,423.22,465.06,549,258.13,516.43,477.48,202.81,518.84,331.36,212.23,789.51,191.24,478.18,334.85,52.41,600.82,108,330.91,353.09,201.33,240.63,500.59,74.14,548.37,241.44,308.53,233.63,364.15,140.21,277.27,207.29,273,107.71,156.92,52.37,61.06,6.68,21.07,30.48,8.57,23.92,3.61,9.79,7.83,6.83,17.38,26.19,10.44,8.94,11.01,1.97,1.09,0.21,0.84,0.92,5.31,2.47,0.54,1.63,4.48,7.8,0.62,NA,0.34,0.02,NA,0.14,NA,NA,0.02,NA,0.01,NA
"North Carolina",1823.69,38.49,41.17,480.48,423.04,495.59,1685.34,323.87,40.3,226.07,1383.37,664.5,210.27,658.4,564.86,165.96,671.48,72.5,225.16,127.63,26.97,442.46,118.87,81.37,93.5,115.47,229.32,29.68,178.8,43.64,93.73,73.12,27.06,110.7,19.27,30.53,26.32,8.59,15.88,19.03,6.48,7.46,19.47,35.89,0.71,0.12,0.12,0.06,0.35,0.93,2.15,1.97,2.21,0.1,0.04,NA,NA,0.14,0.07,0.23,0.03,2.99,0.71,0.64,0.36,NA,0.04,NA,0.05,0.02,NA,NA,NA,NA,NA,NA
"North Dakota",55.73,339.19,117,142.06,318.07,373.64,657.63,290.45,16.52,8.4,863.45,843.21,149.05,223.2,274.08,798.53,644.36,64.11,40.84,236.08,214.45,245.95,63.62,426.98,432.14,254.43,454.18,407.81,362.47,629.25,714.58,899.54,390.56,439,583.22,677.98,813.23,623.26,212.64,143.16,22.83,13.03,51.25,36.17,9.49,11.22,5.82,131.87,0.46,4.74,27.44,2.6,NA,NA,NA,NA,NA,0.15,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA
"Ohio",355.92,561.14,277.6,291.32,539.34,233.67,410.5,544.79,136.53,366.37,694.27,74,22.4,1132.77,127.08,276.41,557.93,49.82,200.43,239.45,282.32,268.29,161.84,295.76,248,314.96,322.29,170.31,477.29,86.94,312.78,124.39,191.15,208.73,118.46,146.63,191.15,90.96,63.04,11.74,3.25,5.38,37.7,37.07,2.82,3.77,27.44,1.1,6.76,17.29,4.67,3.02,3.54,0.2,0.03,0.83,0.1,NA,NA,0.01,0.88,25.09,5.22,0.11,0.05,0.11,0.04,0.02,0.06,0.3,NA,NA,0.03,0.01,NA,NA
"Oklahoma",268.71,46.19,164.93,32.17,43.17,101.87,378.08,102.91,15.22,45.62,116.62,194.44,60.4,88.78,260.92,76.06,166.8,51.13,188.97,10.79,66.02,354.07,27.43,359.94,92.03,173.09,152.18,132.27,440.45,66.1,317.88,29.15,51.72,25.07,86.46,14.17,42.41,9.97,25.25,32.35,4.96,5.63,30.63,25.06,0.5,2.46,1.1,9.64,9.99,1.72,0.91,0.85,22.66,0.24,0.99,0.03,0.27,NA,0.99,0.12,0.25,4.03,5.6,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oregon",223.09,492.32,276.36,242.56,514.2,230.37,193.5,705.43,919.15,38.19,121.89,219.8,671.12,607.51,499.14,693.95,239.87,156.32,453.37,71.91,367.6,684.38,49.38,617.84,209.73,558.14,244.37,295.16,135.02,879.25,529.02,447.57,624.94,322.05,766.23,258.3,453.01,181.74,126.91,86.72,30.7,9.83,21.15,15.97,8.95,19.52,1.03,8.43,7.12,12.77,20.58,2.78,0.08,0.2,0.72,0.4,NA,0.19,0.26,3.01,1.3,1.45,1.35,2.78,0.29,NA,NA,0.09,0.33,0.09,NA,0.15,NA,0.18,NA,NA
"Pennsylvania",583.95,489.56,356.56,821.6,470.69,336.38,848.11,917.36,243.53,390.89,1329.75,186.57,148.62,1011.32,380.42,563.08,256.56,127.31,611.47,113.41,306.69,483.96,165.44,299.86,358.5,146.18,351.84,170.43,397.95,117.09,307.18,247.52,59.7,226.11,83.08,106.13,101.85,57.21,47.16,6.81,2.54,10.66,17.65,15.63,0.61,3.44,7.74,4.78,28.5,27.09,2.81,0.57,9.49,4.33,0.07,NA,0.04,0.33,0.25,0.26,4.4,2,3.77,11.72,0.08,NA,0.07,0.01,0.1,0.13,0.03,NA,NA,0.05,NA,NA
"Rhode Island",735.32,270.62,39.23,665.05,1472.69,9.36,65.79,994.05,368.69,679.22,35.95,416.85,467.72,57.67,609.25,296.39,535.99,55.54,160.61,507.34,48.43,561.61,30.68,113.3,665.78,61.97,223.67,657.21,22.43,72.67,496.84,35.92,227.84,766.11,378.97,139.6,279.32,444.82,9.75,6.82,7.28,2.9,11.4,24.72,52.25,68.09,6.58,0.54,2.23,6.76,0.85,10.88,0.2,NA,NA,NA,NA,NA,0.2,0.2,NA,3.9,2.99,0.4,2.28,0.1,0.7,0.49,NA,0.49,NA,NA,NA,NA,NA,NA
"South Carolina",1138.49,12.2,14.45,189.95,182.58,360.64,637.61,46.26,48.24,99.18,373.4,60.34,32.32,481.97,218.23,153.66,363.6,78.91,358.19,161.86,120.65,453.08,90.62,34.31,81.69,89.38,254.91,53.33,384.74,248.22,472.18,82.91,53.68,136.63,38.4,95.75,161.62,50.55,26.31,20.44,1.52,5.34,24.01,32.77,7.63,2.86,1.96,0.57,0.15,3.28,6.44,3.35,5.02,NA,NA,NA,NA,0.03,7.54,0.06,NA,0.52,0.12,0.37,0.8,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA
"South Dakota",160.16,167.77,346.31,212.36,96.37,299.08,1373.94,167.25,33.6,9.84,212.46,1173.78,253.83,61.34,143.09,507.31,258.73,100.63,189.69,218.3,140.26,157.39,102.59,106.72,115.26,68.81,123.53,63.59,86.75,81.49,18.41,129.12,17.59,21.72,64.25,12.53,9.86,16.73,5.87,8.67,0.6,7.64,15.79,31.34,1.78,0.44,4.12,51.88,0.74,10.62,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
"Tennessee",315.43,33.04,179.91,134.79,68.99,133.48,647.85,51.31,50.18,106.41,403.65,108.43,95.17,278.13,106.34,194.95,184.38,65.8,150.47,61,127.54,252.76,104.1,80.64,200.48,84.73,416.4,172.07,617,455.99,793.55,275.98,535.9,403.1,666.32,183.55,629.43,238.12,332.74,53.62,1.73,0.53,13.53,24.69,4.66,3.9,1.29,4.09,4.8,15.75,22.26,1.73,3.83,0.08,0.12,0.02,NA,NA,1.2,NA,0.02,2.85,1.93,0.2,NA,NA,0.53,NA,0.04,0.05,NA,NA,NA,NA,NA,NA
"Texas",97.35,71.28,73.12,39.56,76.58,361.4,490.66,64.07,125.58,235.14,95.34,115.98,249.88,308.34,517.23,233.42,542.2,188.86,410.13,109.48,583.88,749.48,175.65,808.78,283.26,885.82,906.12,455.73,755.24,471.87,889.53,360.65,516.19,164.07,665.61,164.36,383.18,284.32,239.95,125.32,47.58,44.87,72.35,77.41,13.17,4.06,1.43,2.23,2.04,13.99,7.54,4.54,1.34,6.03,1.15,0.24,3.33,2.56,2.27,2.51,0.09,18.43,22.86,1.23,5.67,0.06,0.1,0.09,0.18,0.07,NA,0.01,NA,NA,NA,NA
"Utah",16.83,68.9,1044.79,29.72,13.91,402.1,2184.87,50.16,117.89,396.79,1808.86,1002.23,1363.22,281.09,2589.06,1211.27,200.67,746.1,1244.57,99.24,910.94,526.54,879.2,331.4,652.51,775.41,1043.86,101.05,284.17,1749.89,458.83,670.89,551.77,179.6,430.57,316.23,260.75,444.86,68.2,37.81,2.04,1.09,3.52,30.04,13.71,10.74,1.21,27.85,166.51,1.75,3.24,1.52,2.98,NA,0.19,0.61,1.69,NA,0.78,NA,NA,6.9,8.5,12.36,NA,NA,7.8,NA,5.77,0.05,NA,0.1,0.13,NA,NA,NA
"Vermont",334.8,105.31,236.69,318.4,1146.08,312.58,380.66,389.3,2974.79,289.31,1652.64,1029.19,241.07,384.64,1071.29,2323.73,751.46,179.96,858.63,1348.83,407.12,1711.37,157.47,1130.93,1397.32,148.93,760.21,1894.94,340.86,761.46,549.2,525.59,893.32,295.88,518.32,405.8,596.77,360.66,79.16,9.96,1.85,0.69,1.98,26.6,17.07,25.57,11.88,15.28,34.37,47.16,10.52,23.31,41.88,0.38,0.38,NA,0.76,NA,NA,3.99,NA,0.18,NA,0.71,NA,5.36,0.17,NA,0.17,9.88,NA,NA,0.16,0.16,NA,NA
"Virginia",NA,NA,NA,NA,53.4,351.88,1158.76,727.35,127.83,337.39,475.81,394.24,203.84,1035.28,177.59,341.34,475.42,64.45,385.83,242.18,191.3,649.31,85.42,408.71,376.52,138.96,673.56,120.1,634.53,128.67,550.15,349.29,185.6,285.95,231.09,172.45,274.81,93.32,50.58,51.99,9.49,20.26,51.91,32.37,1.54,8.74,0.86,0.85,16.49,50.79,49.89,6.01,6.57,0.24,0.15,0.37,0.07,0.47,0.85,0.02,3.48,0.42,1.22,0.36,0.25,NA,0.04,NA,0.01,0.03,NA,0.25,0.03,0.01,NA,NA
"Washington",344.82,248.6,631.64,197.43,631.93,155.84,473.84,525.47,463.74,103.34,112.23,1158.16,919.59,118.23,645.64,765.07,264.04,291.68,513.61,63.82,482.29,551.2,142.61,733.32,243.78,473.15,857.47,425.03,481.3,614.37,384.18,512.47,456.2,301.32,704.07,166.94,674.69,255.7,166.67,178.9,18.25,1.68,19.71,33.15,28.37,25.03,2.22,8.14,10.26,12.41,10.62,25.15,4.05,0.1,0.85,0.7,3.91,1.99,4.71,1.01,0.15,1.06,6.71,1.53,NA,NA,NA,0.39,0.92,0.27,NA,NA,NA,NA,NA,NA
"West Virginia",195.98,380.14,157.7,291.38,599.65,303.34,231.8,605.9,63.26,110.04,595.16,99.07,29.79,592.24,303.79,133.75,497.22,79.64,140.56,143.62,295.53,188.45,293.19,227.24,270,309.56,512.01,204.22,587.09,185.11,657.2,406.39,190.39,429.01,551.12,696.29,518.7,832.69,313.45,84.57,20.5,13.82,19.73,31.99,15.51,12.58,12.68,11.73,11.01,13.87,45.55,4.54,1.75,0.6,0.1,0.05,NA,2.51,0.11,NA,0.33,2.95,0.33,NA,NA,NA,1.98,NA,NA,0.05,NA,NA,NA,NA,NA,NA
"Wisconsin",124.61,1016.54,748.58,506.57,935.31,317.48,1332.84,1415.38,126.57,66.55,2348.05,768.04,636.45,993.07,781.79,1290.54,1407.91,165.52,1333.6,383.14,926.15,1171.07,546.71,958.07,1140.83,1166.84,289.57,1389.05,715.74,980.76,1665.37,384.77,1090.16,932.93,365.34,1413.07,370.35,482.22,736.07,49.53,31.89,15.33,31.02,87.53,76.34,29.97,13.9,32.03,88.54,45.35,33.27,13.76,31.29,0.12,0.02,NA,0.65,1.2,5.85,3.02,NA,6.44,13.39,0.14,NA,NA,0.04,NA,0.02,NA,NA,NA,NA,NA,NA,NA
"Wyoming",227,312.16,341.55,60.69,242.1,249.06,967.44,935.42,57.52,69.91,360.59,1392.34,393.6,381.73,635.27,1088.61,728.08,157.58,397.59,170.19,805.41,201.42,209.99,753.58,231.75,497.54,391.79,180.83,640.69,69.46,433.31,281.2,209.63,143.65,142.93,97.92,84.29,226.15,72.79,64.27,17,2.43,3.23,24.49,14.4,19.68,4.46,0.75,0.97,5.77,NA,0.43,NA,0.2,NA,NA,NA,1.01,NA,NA,NA,NA,NA,0.65,0.21,NA,NA,NA,0.2,0.61,NA,NA,NA,NA,NA,NA
